customer_id,customer_name,country,credit_limit_eur,payment_terms,last_updated_by,source
FR001,Carrefour France,FR,2400000,NET30,Account Manager EU,manually updated by account manager post-carve-out
FR002,E.Leclerc,FR,1400000,NET30,Thomas Beaumont,manually updated by account manager post-carve-out
UK001,Boots UK,UK,1550000,NET30,Raj Patel,manually updated by account manager post-carve-out
UK002,Tesco UK,UK,1350000,NET30,Account Manager EU,manually updated by account manager post-carve-out
DE001,dm (Drogerie Markt),DE,1150000,NET30,Raj Patel,manually updated by account manager post-carve-out
EU001,Lidl Europe,EU,1000000,NET30,Sophie Marchetti,manually updated by account manager post-carve-out
EU002,Coop Group,EU,950000,NET30,Thomas Beaumont,manually updated by account manager post-carve-out
ES001,Mercadona,ES,900000,NET30,Raj Patel,manually updated by account manager post-carve-out
CUST01000,Pharmacy Account 1000,DE,200000,NET30,System migration,Opella CRM migration 2024
CUST01001,Co-op Account 1001,UK,300000,NET60,System migration,Opella CRM migration 2024
CUST01002,Wholesaler Account 1002,IT,250000,NET60,System migration,Opella CRM migration 2024
CUST01003,Hospital Account 1003,NL,300000,NET45,System migration,Opella CRM migration 2024
CUST01004,Hospital Account 1004,DE,100000,NET60,System migration,Opella CRM migration 2024
CUST01005,Co-op Account 1005,UK,50000,NET30,System migration,Opella CRM migration 2024
CUST01006,Hospital Account 1006,PL,50000,NET45,System migration,Opella CRM migration 2024
CUST01007,Hospital Account 1007,DE,250000,NET30,System migration,Opella CRM migration 2024
CUST01008,Pharmacy Account 1008,BE,150000,NET45,System migration,Opella CRM migration 2024
CUST01009,Independent Retailer Account 1009,AT,75000,NET30,System migration,Opella CRM migration 2024
CUST01010,Independent Retailer Account 1010,IT,250000,NET30,System migration,Opella CRM migration 2024
CUST01011,Wholesaler Account 1011,FR,250000,NET60,System migration,Opella CRM migration 2024
CUST01012,Hospital Account 1012,FR,250000,NET45,System migration,Opella CRM migration 2024
CUST01013,Wholesaler Account 1013,AT,250000,NET60,System migration,Opella CRM migration 2024
CUST01014,Independent Retailer Account 1014,CH,75000,NET45,System migration,Opella CRM migration 2024
CUST01015,Hospital Account 1015,AT,300000,NET60,System migration,Opella CRM migration 2024
CUST01016,Independent Retailer Account 1016,FR,100000,NET30,System migration,Opella CRM migration 2024
CUST01017,Co-op Account 1017,ES,50000,NET60,System migration,Opella CRM migration 2024
CUST01018,Hospital Account 1018,CH,200000,NET45,System migration,Opella CRM migration 2024
CUST01019,Wholesaler Account 1019,PL,75000,NET30,System migration,Opella CRM migration 2024
CUST01020,Pharmacy Account 1020,BE,100000,NET30,System migration,Opella CRM migration 2024
CUST01021,Pharmacy Account 1021,PL,250000,NET45,System migration,Opella CRM migration 2024
CUST01022,Co-op Account 1022,FR,250000,NET45,System migration,Opella CRM migration 2024
CUST01023,Independent Retailer Account 1023,DE,75000,NET60,System migration,Opella CRM migration 2024
CUST01024,Hospital Account 1024,FR,200000,NET60,System migration,Opella CRM migration 2024
CUST01025,Pharmacy Account 1025,DE,100000,NET30,System migration,Opella CRM migration 2024
CUST01026,Independent Retailer Account 1026,NL,100000,NET60,System migration,Opella CRM migration 2024
CUST01027,Independent Retailer Account 1027,CH,250000,NET30,System migration,Opella CRM migration 2024
CUST01028,Hospital Account 1028,IT,150000,NET30,System migration,Opella CRM migration 2024
CUST01029,Co-op Account 1029,CH,300000,NET45,System migration,Opella CRM migration 2024
CUST01030,Wholesaler Account 1030,CH,300000,NET30,System migration,Opella CRM migration 2024
CUST01031,Hospital Account 1031,IT,150000,NET45,System migration,Opella CRM migration 2024
CUST01032,Co-op Account 1032,NL,100000,NET45,System migration,Opella CRM migration 2024
CUST01033,Hospital Account 1033,DE,100000,NET30,System migration,Opella CRM migration 2024
CUST01034,Independent Retailer Account 1034,UK,250000,NET30,System migration,Opella CRM migration 2024
CUST01035,Hospital Account 1035,AT,150000,NET45,System migration,Opella CRM migration 2024
CUST01036,Co-op Account 1036,DE,100000,NET30,System migration,Opella CRM migration 2024
CUST01037,Co-op Account 1037,IT,250000,NET60,System migration,Opella CRM migration 2024
CUST01038,Pharmacy Account 1038,BE,75000,NET60,System migration,Opella CRM migration 2024
CUST01039,Wholesaler Account 1039,ES,200000,NET30,System migration,Opella CRM migration 2024
CUST01040,Wholesaler Account 1040,CH,100000,NET60,System migration,Opella CRM migration 2024
CUST01041,Hospital Account 1041,UK,150000,NET30,System migration,Opella CRM migration 2024
CUST01042,Hospital Account 1042,ES,200000,NET60,System migration,Opella CRM migration 2024
CUST01043,Hospital Account 1043,DE,100000,NET45,System migration,Opella CRM migration 2024
CUST01044,Pharmacy Account 1044,UK,50000,NET45,System migration,Opella CRM migration 2024
CUST01045,Co-op Account 1045,NL,150000,NET60,System migration,Opella CRM migration 2024
CUST01046,Independent Retailer Account 1046,CH,150000,NET30,System migration,Opella CRM migration 2024
CUST01047,Independent Retailer Account 1047,UK,250000,NET60,System migration,Opella CRM migration 2024
CUST01048,Hospital Account 1048,FR,100000,NET30,System migration,Opella CRM migration 2024
CUST01049,Independent Retailer Account 1049,CH,250000,NET60,System migration,Opella CRM migration 2024
CUST01050,Independent Retailer Account 1050,UK,75000,NET60,System migration,Opella CRM migration 2024
CUST01051,Pharmacy Account 1051,FR,50000,NET30,System migration,Opella CRM migration 2024
CUST01052,Co-op Account 1052,NL,200000,NET30,System migration,Opella CRM migration 2024
CUST01053,Independent Retailer Account 1053,IT,150000,NET45,System migration,Opella CRM migration 2024
CUST01054,Co-op Account 1054,UK,250000,NET60,System migration,Opella CRM migration 2024
CUST01055,Co-op Account 1055,DE,100000,NET60,System migration,Opella CRM migration 2024
CUST01056,Co-op Account 1056,BE,250000,NET45,System migration,Opella CRM migration 2024
CUST01057,Independent Retailer Account 1057,FR,50000,NET30,System migration,Opella CRM migration 2024
CUST01058,Independent Retailer Account 1058,ES,50000,NET30,System migration,Opella CRM migration 2024
CUST01059,Pharmacy Account 1059,UK,200000,NET30,System migration,Opella CRM migration 2024
CUST01060,Hospital Account 1060,NL,250000,NET45,System migration,Opella CRM migration 2024
CUST01061,Co-op Account 1061,BE,75000,NET45,System migration,Opella CRM migration 2024
CUST01062,Hospital Account 1062,UK,100000,NET45,System migration,Opella CRM migration 2024
CUST01063,Independent Retailer Account 1063,UK,250000,NET45,System migration,Opella CRM migration 2024
CUST01064,Wholesaler Account 1064,UK,100000,NET45,System migration,Opella CRM migration 2024
CUST01065,Hospital Account 1065,AT,100000,NET60,System migration,Opella CRM migration 2024
CUST01066,Wholesaler Account 1066,PL,150000,NET45,System migration,Opella CRM migration 2024
CUST01067,Pharmacy Account 1067,AT,150000,NET60,System migration,Opella CRM migration 2024
CUST01068,Independent Retailer Account 1068,IT,200000,NET45,System migration,Opella CRM migration 2024
CUST01069,Independent Retailer Account 1069,ES,150000,NET45,System migration,Opella CRM migration 2024
CUST01070,Independent Retailer Account 1070,FR,100000,NET45,System migration,Opella CRM migration 2024
CUST01071,Pharmacy Account 1071,NL,100000,NET45,System migration,Opella CRM migration 2024
CUST01072,Wholesaler Account 1072,CH,250000,NET30,System migration,Opella CRM migration 2024
CUST01073,Co-op Account 1073,FR,75000,NET45,System migration,Opella CRM migration 2024
CUST01074,Independent Retailer Account 1074,FR,75000,NET60,System migration,Opella CRM migration 2024
CUST01075,Hospital Account 1075,BE,250000,NET45,System migration,Opella CRM migration 2024
CUST01076,Co-op Account 1076,AT,50000,NET60,System migration,Opella CRM migration 2024
CUST01077,Independent Retailer Account 1077,FR,100000,NET60,System migration,Opella CRM migration 2024
CUST01078,Co-op Account 1078,ES,300000,NET45,System migration,Opella CRM migration 2024
CUST01079,Independent Retailer Account 1079,FR,100000,NET30,System migration,Opella CRM migration 2024
CUST01080,Pharmacy Account 1080,AT,50000,NET45,System migration,Opella CRM migration 2024
CUST01081,Independent Retailer Account 1081,NL,50000,NET45,System migration,Opella CRM migration 2024
CUST01082,Independent Retailer Account 1082,IT,50000,NET60,System migration,Opella CRM migration 2024
CUST01083,Pharmacy Account 1083,FR,100000,NET30,System migration,Opella CRM migration 2024
CUST01084,Co-op Account 1084,FR,50000,NET60,System migration,Opella CRM migration 2024
CUST01085,Wholesaler Account 1085,CH,100000,NET30,System migration,Opella CRM migration 2024
CUST01086,Wholesaler Account 1086,CH,100000,NET30,System migration,Opella CRM migration 2024
CUST01087,Pharmacy Account 1087,CH,150000,NET30,System migration,Opella CRM migration 2024
CUST01088,Pharmacy Account 1088,FR,150000,NET60,System migration,Opella CRM migration 2024
CUST01089,Pharmacy Account 1089,CH,250000,NET30,System migration,Opella CRM migration 2024
CUST01090,Independent Retailer Account 1090,PL,300000,NET60,System migration,Opella CRM migration 2024
CUST01091,Co-op Account 1091,PL,200000,NET45,System migration,Opella CRM migration 2024
CUST01092,Pharmacy Account 1092,CH,250000,NET45,System migration,Opella CRM migration 2024
CUST01093,Co-op Account 1093,AT,300000,NET60,System migration,Opella CRM migration 2024
CUST01094,Co-op Account 1094,ES,50000,NET45,System migration,Opella CRM migration 2024
CUST01095,Co-op Account 1095,DE,250000,NET30,System migration,Opella CRM migration 2024
