case_id,date,customer,country,channel,root_cause,resolution_time_hrs,notes
CS-2025-0001,2025-01-18,Lidl Europe,EU,EDI,EDI order not processed — manual intervention required,6,Retailer EDI portal shows accepted but order not in our system.
CS-2025-0002,2025-01-18,Carrefour France,FR,Manual,Delivery short — quantity variance,3,Awaiting sign-off from Credit Controller.
CS-2025-0003,2025-01-22,Tesco UK,UK,Phone,Delivery short — quantity variance,26,Customer accepted revised delivery date.
CS-2025-0004,2025-01-25,Lidl Europe,EU,Phone,Pricing discrepancy on invoice,67,Awaiting sign-off from Credit Controller.
CS-2025-0005,2025-01-28,Mercadona,ES,Manual,Product substitution query,16,Customer accepted revised delivery date.
CS-2025-0006,2025-01-30,Mercadona,ES,EDI,Pricing discrepancy on invoice,52,Short delivery confirmed by logistics — credit raised.
CS-2025-0007,2025-02-01,dm (Drogerie Markt),DE,EDI,Delivery date change requested,41,Resolved by account manager — credit note issued.
CS-2025-0008,2025-02-04,dm (Drogerie Markt),DE,Phone,Returns authorisation requested,43,Awaiting sign-off from Credit Controller.
CS-2025-0009,2025-02-06,Boots UK,UK,EDI,EDI order not processed — manual intervention required,48,Retailer EDI portal shows accepted but order not in our system.
CS-2025-0010,2025-02-07,Coop Group,EU,Manual,Customer query — payment application,37,Price list version mismatch. Updated in system.
CS-2025-0011,2025-02-07,Coop Group,EU,Email,Pricing discrepancy on invoice,54,Customer accepted revised delivery date.
CS-2025-0012,2025-02-09,E.Leclerc,FR,Manual,Credit note dispute,34,Price list version mismatch. Updated in system.
CS-2025-0013,2025-02-15,dm (Drogerie Markt),DE,Manual,Delivery date change requested,53,Customer accepted revised delivery date.
CS-2025-0014,2025-02-19,Carrefour France,FR,Manual,Delivery short — quantity variance,53,Customer accepted revised delivery date.
CS-2025-0015,2025-02-19,Boots UK,UK,EDI,EDI order not processed — manual intervention required,4,EDI connection timeout. Order queued for manual processing.
CS-2025-0016,2025-02-21,E.Leclerc,FR,Phone,Customer query — payment application,55,Customer accepted revised delivery date.
CS-2025-0017,2025-02-26,Carrefour France,FR,Phone,Delivery short — quantity variance,23,Awaiting sign-off from Credit Controller.
CS-2025-0018,2025-02-27,Carrefour France,FR,Phone,Customer query — payment application,94,Short delivery confirmed by logistics — credit raised.
CS-2025-0019,2025-03-01,Carrefour France,FR,EDI,Delivery date change requested,20,Awaiting sign-off from Credit Controller.
CS-2025-0020,2025-03-02,E.Leclerc,FR,EDI,EDI order not processed — manual intervention required,4,Boots UK EDI outage — contacted Sanofi IT helpdesk as per internal note.
CS-2025-0021,2025-03-03,Carrefour France,FR,EDI,EDI order not processed — manual intervention required,6,EDI acknowledgement not received from partner. Manual re-entry required.
CS-2025-0022,2025-03-03,Carrefour France,FR,Email,Delivery short — quantity variance,75,Short delivery confirmed by logistics — credit raised.
CS-2025-0023,2025-03-03,Lidl Europe,EU,EDI,Delivery date change requested,71,Price list version mismatch. Updated in system.
CS-2025-0024,2025-03-05,Carrefour France,FR,EDI,EDI order not processed — manual intervention required,8,Customer threatened to delist Doliprane if EDI reliability does not improve.
CS-2025-0025,2025-03-08,E.Leclerc,FR,EDI,EDI order not processed — manual intervention required,48,EDI mapping error — incorrect product code in ORDERS message.
CS-2025-0026,2025-03-13,Carrefour France,FR,EDI,EDI order not processed — manual intervention required,4,third time this quarter for Carrefour FR — escalating to Opella Digital.
CS-2025-0027,2025-03-14,E.Leclerc,FR,Manual,Delivery short — quantity variance,50,Price list version mismatch. Updated in system.
CS-2025-0028,2025-03-26,Lidl Europe,EU,Phone,Credit note dispute,91,Customer accepted revised delivery date.
CS-2025-0029,2025-03-27,E.Leclerc,FR,Email,Pricing discrepancy on invoice,75,Resolved by account manager — credit note issued.
CS-2025-0030,2025-03-27,E.Leclerc,FR,EDI,EDI order not processed — manual intervention required,6,Retailer EDI portal shows accepted but order not in our system.
CS-2025-0031,2025-03-27,dm (Drogerie Markt),DE,Manual,Returns authorisation requested,4,Price list version mismatch. Updated in system.
